"id","model","status","date","link"
"22461","Unknown T-72 Obr. 2022 variant","Abandoned","22 Dec 2023","/view/22461/117939/"
"22430","T-72 *","Abandoned","22 Dec 2023","/view/22430/118108/"
"22573","T-80BV","Abandoned","21 Dec 2023","/view/22573/118148/"
"22572","T-72B","Abandoned","21 Dec 2023","/view/22572/118144/"
"22571","T-80BV","Abandoned","21 Dec 2023","/view/22571/118776/"
"22570","T-80BV","Abandoned","21 Dec 2023","/view/22570/118152/"
"22491","T-80BV","Destroyed","21 Dec 2023","/view/22491/117156/"
"22469","T-62M","Abandoned","21 Dec 2023","/view/22469/117517/"
"22455","T-80BV","Abandoned","21 Dec 2023","/view/22455/117207/"
"22452","T-80BV","Abandoned","21 Dec 2023","/view/22452/117192/"
"23100","T-72B Obr. 2022","Destroyed","20 Dec 2023","/view/23100/121809/"
"22421","T-80BV","Destroyed","19 Dec 2023","/view/22421/116891/"
"22391","Unknown T-72 Obr. 2022 variant","Destroyed","19 Dec 2023","/view/22391/117078/"
"23512","T-64BV","Abandoned","18 Dec 2023","/view/23512/125311/"
"23511","T-64BV","Abandoned","18 Dec 2023","/view/23511/125309/"
"22425","T-64BV","Destroyed","18 Dec 2023","/view/22425/116912/"
"22365","T-90M 'Proryv'","Destroyed","18 Dec 2023","/view/22365/127203/"
"21577","T-72B","Destroyed","17 Dec 2023","/view/21577/116496/"
"21250","T-64BV","Destroyed","17 Dec 2023","/view/21250/119511/"
"21178","T-72B","Destroyed","17 Dec 2023","/view/21178/122030/"
"22382","T-72B3","Abandoned","15 Dec 2023","/view/22382/116667/"
"22380","T-80BVK","Destroyed","15 Dec 2023","/view/22380/116656/"
"22240","T-72 *","Abandoned","13 Dec 2023","/view/22240/115793/"
"22239","Unknown T-72 Obr. 2022 variant","Abandoned","13 Dec 2023","/view/22239/115792/"
"22020","T-80BV","Destroyed","13 Dec 2023","/view/22020/115789/"
"22296","Unknown T-72 Obr. 2022 variant","Destroyed","12 Dec 2023","/view/22296/116390/"
"22249","T-80BV","Destroyed","12 Dec 2023","/view/22249/115609/"
"22729","T-80BV","Destroyed","11 Dec 2023","/view/22729/119181/"
"22272","T-80BV","Destroyed","11 Dec 2023","/view/22272/128823/"
"22233","T-72 *","Destroyed","11 Dec 2023","/view/22233/115753/"
"22228","T-80B","Destroyed","11 Dec 2023","/view/22228/115198/"
"22213","T-62MV","Destroyed","11 Dec 2023","/view/22213/115111/"
"22188","T-72B3 Obr. 2022","Destroyed","11 Dec 2023","/view/22188/115356/"
"22164","T-72B3","Destroyed","11 Dec 2023","/view/22164/123144/"
"22310","T-80BV","Abandoned","10 Dec 2023","/view/22310/116397/"
"22309","T-80BV","Abandoned","10 Dec 2023","/view/22309/116384/"
"22304","T-80BV","Destroyed","10 Dec 2023","/view/22304/116408/"
"22302","Unknown tank","Destroyed","10 Dec 2023","/view/22302/116411/"
"22301","T-72B Obr. 2022","Destroyed","10 Dec 2023","/view/22301/116765/"
"22299","T-80BV","Destroyed","10 Dec 2023","/view/22299/116402/"
"22295","T-62 Obr. 1972","Abandoned","10 Dec 2023","/view/22295/133759/"
"22292","T-72B","Abandoned","10 Dec 2023","/view/22292/118827/"
"22202","T-80BV","Destroyed","10 Dec 2023","/view/22202/114773/"
"22191","Unknown T-72 Obr. 2022 variant","Destroyed","09 Dec 2023","/view/22191/115296/"
"22184","Unknown T-72 Obr. 2022 variant","Destroyed","09 Dec 2023","/view/22184/117072/"
"22567","T-72B3 Obr. 2016","Abandoned","06 Dec 2023","/view/22567/131050/"
"22230","T-64BVK","Destroyed","06 Dec 2023","/view/22230/115759/"
"22081","T-72B3","Destroyed","06 Dec 2023","/view/22081/113763/"
"22077","T-80 *","Destroyed","05 Dec 2023","/view/22077/122812/"
"22076","T-80BV","Destroyed","05 Dec 2023","/view/22076/113957/"
"22037","T-72 *","Destroyed","05 Dec 2023","/view/22037/113638/"
"22016","T-72B3 Obr. 2016","Destroyed","05 Dec 2023","/view/22016/113924/"
"23151","T-72B3 Obr. 2016","Damaged","04 Dec 2023","/view/23151/121689/"
"22262","T-80BV","Destroyed","04 Dec 2023","/view/22262/115788/"
"22019","T-80BV","Abandoned","04 Dec 2023","/view/22019/113321/"
"21987","T-72B Obr. 2022","Abandoned","04 Dec 2023","/view/21987/113552/"
"21986","T-80BVM","Abandoned","04 Dec 2023","/view/21986/113548/"
"22317","T-72B3 Obr. 2016","Destroyed","02 Dec 2023","/view/22317/115970/"
"22132","T-80BVM","Destroyed","01 Dec 2023","/view/22132/115050/"
"21908","T-72 'Ural'","Destroyed","01 Dec 2023","/view/21908/112786/"
"22157","T-72B","Destroyed","30 Nov 2023","/view/22157/115075/"
"22000","Unknown tank","Destroyed","30 Nov 2023","/view/22000/113099/"
"21999","T-80BV","Abandoned","30 Nov 2023","/view/21999/113095/"
"21887","T-62M Obr. 2022","Destroyed","30 Nov 2023","/view/21887/112867/"
"20687","T-80BV","Destroyed","30 Nov 2023","/view/20687/119156/"
"19181","T-80BV","Destroyed","30 Nov 2023","/view/19181/122934/"
"19180","T-80BV","Destroyed","30 Nov 2023","/view/19180/118855/"
"18987","T-80BV","Destroyed","30 Nov 2023","/view/18987/118184/"
"24388","Unknown T-72 Obr. 2022 variant","Destroyed","29 Nov 2023","/view/24388/133756/"
"22347","T-72B3 Obr. 2016","Destroyed","29 Nov 2023","/view/22347/116154/"
"21976","T-72B3 Obr. 2016","Abandoned","29 Nov 2023","/view/21976/113520/"
"21928","T-62MV","Destroyed","29 Nov 2023","/view/21928/112886/"
"21905","T-72B3 Obr. 2016","Destroyed","29 Nov 2023","/view/21905/112865/"
"21899","T-80BV","Destroyed","29 Nov 2023","/view/21899/112534/"
"21916","T-64BV","Destroyed","28 Nov 2023","/view/21916/126225/"
"21850","T-80BV","Destroyed","28 Nov 2023","/view/21850/112411/"
"21849","T-80BV","Abandoned","28 Nov 2023","/view/21849/112408/"
"21861","T-72B","Destroyed","27 Nov 2023","/view/21861/112223/"
"21837","T-80BV","Destroyed","26 Nov 2023","/view/21837/111925/"
"21813","T-62M Obr. 2022","Damaged","24 Nov 2023","/view/21813/111760/"
"21805","T-90M 'Proryv'","Destroyed","24 Nov 2023","/view/21805/111766/"
"21841","T-80BV","Destroyed","23 Nov 2023","/view/21841/112170/"
"21790","T-80 *","Destroyed","23 Nov 2023","/view/21790/111598/"
"21784","T-72B3 Obr. 2016","Destroyed","23 Nov 2023","/view/21784/111870/"
"21783","T-72B Obr. 2022","Destroyed","23 Nov 2023","/view/21783/111951/"
"21765","Unknown T-80 Obr. 2022 variant","Destroyed","22 Nov 2023","/view/21765/111685/"
"21992","Unknown tank","Abandoned","21 Nov 2023","/view/21992/113528/"
"21770","T-64BV","Abandoned","21 Nov 2023","/view/21770/111472/"
"21734","T-80BV","Destroyed","20 Nov 2023","/view/21734/111285/"
"21977","T-80BV","Abandoned","19 Nov 2023","/view/21977/113537/"
"21774","T-72B3","Destroyed","19 Nov 2023","/view/21774/111805/"
"21279","T-80BV","Destroyed","19 Nov 2023","/view/21279/111092/"
"21728","T-72B","Abandoned","18 Nov 2023","/view/21728/113525/"
"21632","T-72B Obr. 2022","Destroyed","18 Nov 2023","/view/21632/110800/"
"21682","T-90M 'Proryv'","Destroyed","17 Nov 2023","/view/21682/121731/"
"21680","T-80BV","Destroyed","17 Nov 2023","/view/21680/110723/"
"21662","T-72B","Destroyed","17 Nov 2023","/view/21662/110677/"
"21629","T-72B Obr. 2022","Damaged","16 Nov 2023","/view/21629/111961/"
"21616","T-72B3","Abandoned","16 Nov 2023","/view/21616/135329/"
"21603","T-80BV","Destroyed","16 Nov 2023","/view/21603/110531/"
"21602","T-64BV","Abandoned","16 Nov 2023","/view/21602/110530/"
"21601","T-80BV","Abandoned","16 Nov 2023","/view/21601/110529/"
"21583","T-62M Obr. 2022","Damaged","16 Nov 2023","/view/21583/110413/"
"21570","T-80BV","Destroyed","14 Nov 2023","/view/21570/110034/"
"21539","T-64BV","Destroyed","13 Nov 2023","/view/21539/109901/"
"22707","T-72B3","Destroyed","11 Nov 2023","/view/22707/119340/"
"21568","T-80BV","Abandoned","11 Nov 2023","/view/21568/110158/"
"21536","T-80BV","Destroyed","11 Nov 2023","/view/21536/110057/"
"21534","T-72B3 Obr. 2022","Destroyed","11 Nov 2023","/view/21534/109614/"
"21500","T-72B Obr. 2022","Destroyed","11 Nov 2023","/view/21500/109867/"
